"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3802","Validar colección completa de Postman","firefox","2026-08-30","passed","2026-08-30","","newman.spec.ts","",""
"","3380","Ejecutar y validar todos los servicios abiertos de forma secuencial","firefox","2026-09-05","passed","2026-09-05","Suite de Endpoints Públicos","public-endpoints.spec.ts","",""
"","12321","has title","chromium","2026-08-30","passed","2026-08-30","","example.spec.ts","",""
"","4974","get started link","firefox","2026-08-30","passed","2026-08-30","","example.spec.ts","",""
"","4374","has title","firefox","2026-08-30","passed","2026-08-30","","example.spec.ts","",""
"","5425","Ejecutar flujo completo y validación secuencial de endpoints","firefox","2026-09-05","passed","2026-09-05","Suite Integral de Regresión de APIs","end-to-end-api.spec.ts","",""
"","495","Ejecutar y validar todos los servicios abiertos","chromium","2026-08-30","failed","2026-08-30","Suite de Endpoints Públicos","public-endpoints.spec.ts","",""
"","518","Ejecutar y validar todos los servicios abiertos","firefox","2026-08-30","failed","2026-08-30","Suite de Endpoints Públicos","public-endpoints.spec.ts","",""
"","2310","Ejecutar login previo y validar servicios seguros de forma secuencial","firefox","2026-09-05","passed","2026-09-05","Suite de Endpoints Protegidos (Con Autenticación)","secured-endpoints.spec.ts","",""
"","5437","Ejecutar flujo completo y validación secuencial de endpoints","chromium","2026-09-05","passed","2026-09-05","Suite Integral de Regresión de APIs","end-to-end-api.spec.ts","",""
"","4549","Validar colección completa de Postman","firefox","2026-08-30","passed","2026-08-30","","fullApi.spec.ts","",""
"","2314","Ejecutar login previo y validar servicios seguros de forma secuencial","chromium","2026-09-05","passed","2026-09-05","Suite de Endpoints Protegidos (Con Autenticación)","secured-endpoints.spec.ts","",""
"","12865","get started link","chromium","2026-08-30","passed","2026-08-30","","example.spec.ts","",""
"","4288","Validar colección completa de Postman","chromium","2026-08-30","passed","2026-08-30","","fullApi.spec.ts","",""
"","3897","Ejecutar y validar todos los servicios abiertos de forma secuencial","chromium","2026-09-05","passed","2026-09-05","Suite de Endpoints Públicos","public-endpoints.spec.ts","",""
"","5265","Validar colección completa de Postman","chromium","2026-08-30","passed","2026-08-30","","newman.spec.ts","",""
